init,x_1,x_2,x_3,x_4,T
[0.25 0.25 0.25 50],0.6247,0.3753,0.0000,0.0000,58.1358
[0.25 0.25 0.25 100],0.0000,0.0000,0.0000,1.0000,97.7712
[0.25 0.25 0.25 200],0.0000,0.0000,1.0000,0.0000,82.5567
